,0,1
137,iShares Edge MSCI USA Momentum Fctr ETF , MTUM
138,iShares Edge MSCI USA Value Factor ETF , VLUE
139,Russell Inv Sustainable Equity E , REQEX
140,Touchstone Focused Y , TFFYX
141,Schwab US Dividend Equity ETF™ , SCHD
142,Olstein All Cap Value C , OFALX
143,PRIMECAP Odyssey Stock , POSKX
144,Janus Henderson Growth And Income D , JNGIX
145,Delaware US Growth A , DUGAX
146,First Trust Capital Strength ETF , FTCS
147,Fidelity® Dividend ETF for Rising Rates , FDRR
148,Smead Value Investor , SMVLX
149,iShares Edge MSCI Multifactor USA ETF , LRGF
150,Neuberger Berman Sustainable Eq Investor , NBSRX
151,FlexShares Quality Dividend ETF , QDF
152,Scharf Institutional , LOGIX
153,Goldman Sachs Rising Dividend Gr A , GSRAX
154,Voya US High Dividend Low Volatility I , VHDIX
155,Sterling Capital Equity Income Instl , BEGIX
156,FlexShares Quality Dividend Defensv ETF , QDEF
157,HCM Dividend Sector Plus R , HCMZX
158,American Beacon Bridgeway Lg Cp Val Inst , BRLVX
159,Dodge & Cox Stock , DODGX
160,Invesco Dynamic Large Cap Growth ETF , PWB
161,AAMA Equity , AMFEX
162,AB Equity Income A , AUIAX
163,Fidelity® Series Value Discovery , FNKLX
164,Pacer Trendpilot™ 100 ETF , PTNQ
165,Fidelity® SAI US Momentum Index , FUMIX
166,Delaware Growth Equity A , FICGX
167,Fidelity® Value Discovery , FVDFX
168,American Century Income and Growth Inv , BIGRX
169,Hartford Multifactor US Equity ETF , ROUS
170,FMI Large Cap , FMIHX
171,BMO Dividend Income I , MDIVX
172,Touchstone Large Cap Institutional , TLCIX
173,VALIC Company I Dividend Value , VCIGX
174,Glenmede Quant US Large Cap Core Eq , GTLOX
175,Sound Shore Investor , SSHFX
176,Coho Relative Value Equity Advisor , COHOX
177,Carillon Eagle Growth & Income A , HRCVX
178,Fidelity® Blue Chip Value , FBCVX
179,SPDR® Portfolio S&P 500 High Div ETF , SPYD
180,Nuveen Large-Cap Value I , NNGRX
181,Invesco S&P 500® High Div Low Vol ETF , SPHD
182,Torray , TORYX
183,AIG Focused Dividend Strategy A , FDSAX
184,Gotham Index Plus Institutional , GINDX
185,AMG Yacktman Focused N , YAFFX
186,Nuveen Large Cap Core I , NLCIX
187,AMG Yacktman I , YACKX
188,Virtus Rampart Equity Trend I , VAPIX
